Sample	Sample_number	Location	Mosquito_species	Analysis	GS_copies	BMRV_copies	BMSV_copies	BMBV1_copies	BMBV2_copies	BMOV1_copies	BMOV2_copies
MOS20qYa20KC_152	152	Yaounde 	Ae. albopictus	qPCR	649000068.018563	0	0	0	0	0	0
MOS20qYa20KC_153	153	Yaounde 	Ae. albopictus	qPCR	190945.839061475	0	0	0	0	0	0
MOS20qYa20KC_154	154	Yaounde 	Ae. albopictus	qPCR	1057.77313519255	0	0	0	0	0	0
MOS20qYa20KC_155	155	Yaounde 	Ae. albopictus	qPCR	588.285254407383	0	365430813.893291	0	0	0	0
MOS20qYa20KC_156	156	Yaounde 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qYa20KC_157	157	Yaounde 	Ae. albopictus	qPCR	4784135.31848066	0	0	0	0	0	0
MOS20qYa20KC_158	158	Yaounde 	Ae. simpsoni	qPCR	645633230.697688	0	0	0	0	0	0
MOS20qYa20KC_159	159	Yaounde 	Ae. albopictus	qPCR	164739.548138848	0	0	0	0	0	0
MOS20qYa20KC_160	160	Yaounde 	Ae. albopictus	qPCR	0	0	439471509.522851	0	0	0	0
MOS20qYa20KC_161	161	Yaounde 	Ae. albopictus	qPCR	946715014.691702	0	0	0	0	0	0
MOS20qYa20KC_162	162	Yaounde 	Ae. albopictus	qPCR	11847.5723931638	0	0	0	0	0	0
MOS20qYa20KC_163	163	Yaounde 	Ae. albopictus	qPCR	1267.02379323394	0	806.964925299373	0	0	0	0
MOS20qYa20KC_164	164	Yaounde 	Ae. albopictus	qPCR	1695.10058618467	0	0	0	0	0	0
MOS20qYa20KC_165	165	Yaounde 	Ae. albopictus	qPCR	2369.48301112409	273810381.377331	1637.01435283256	0	0	0	0
MOS20qYa20KC_166	166	Yaounde 	Ae. simpsoni	qPCR	0	0	0	0	0	0	0
MOS20qYa20KC_167	167	Yaounde 	Ae. albopictus	qPCR	104168.911526461	0	0	0	0	0	0
MOS20qYa20KC_168	168	Yaounde 	Ae. albopictus	qPCR	1618.41123951046	0	0	0	0	0	0
MOS20qYa20KC_183	183	Yaounde 	Ae. albopictus	qPCR	0	0	0	0	0	0	0
MOS20qBu20KC_184	184	Buea	Ae. albopictus	qPCR	0	0	0	0	0	0	0
