	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_3_length_2499_cov_69.837325_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_12_length_1678_cov_78.437851_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_13_length_1601_cov_60.754593_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_15_length_1533_cov_90.873626_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_20_length_1305_cov_41.711726_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_144_length_688_cov_15.950900_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Enontekio alphachrysovirus
NODE_7_length_3089_cov_172.429283_Ba20_KC_P02	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Kwale mosquito virus
NODE_20_length_1619_cov_28.999351_Ba20_KC_P02	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Kwale mosquito virus
NODE_388_length_847_cov_2.324675_Ba20_KC_P07	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Metaviridae	Errantivirus	Lampyris noctiluca errantivirus 1
NODE_3_length_3591_cov_6.802789_Ba20_KC_P12	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Aedes orbi-like virus
NODE_8_length_1965_cov_5.701801_Ba20_KC_P05	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_6331_length_549_cov_2.641949_Ba20_KC_P05	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_6_length_2147_cov_3.104348_Ba20_KC_P06	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_10_length_1698_cov_3.619371_Ba20_KC_P06	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_119_length_949_cov_2.884174_Ba20_KC_P06	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_122_length_944_cov_2.888120_Ba20_KC_P06	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
NODE_334_length_629_cov_1.896739_Ba20_KC_P14	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Leishmaniavirus	Leishmania RNA virus 2
